hour,speed
0,11.031182382894382
1,11.01054899291546
2,11.040433157870332
3,11.138118241917345
4,12.156489655817182
5,13.366827549714372
6,13.236836563070469
7,12.745822766366325
8,12.205232014461409
9,11.616916756362718
10,10.835049454010438
11,10.32348235186107
12,10.136226267219325
13,10.080738200745818
14,10.060557642503545
15,10.163390802019745
16,10.51140133611495
17,10.981889520890256
18,10.951644908081516
19,10.719989573482238
20,10.665789246858903
21,10.728869521988843
22,10.830592049015188
23,10.992664374235556
